phase,lag,observations,mean_query_tokens,mean_oracle_auc,mean_previous_auc,mean_random_auc,mean_recovered_oracle_gain,median_recovered_oracle_gain,mean_load_cosine,mean_top10_jaccard,mean_previous_top10_current_load_share
all,1,1634,92.36046511627907,0.9363185536523816,0.9065252967637629,0.501953125,0.9336647564455682,0.9654063253306121,0.9334871889895452,0.6911402325901116,0.467691657422177
all,2,1558,85.13414634146342,0.9363990900321421,0.8947321143673508,0.501953125,0.9072097164609318,0.9473161757904788,0.9008082612850512,0.6205387798583012,0.44565622177410574
all,3,1482,77.92307692307692,0.9365819305678451,0.8874480310218534,0.501953125,0.8903075799592275,0.9304717895696479,0.8746979280929132,0.5684580179901748,0.4281360392496096
all,4,1406,70.70270270270271,0.937054297728173,0.8821820634346017,0.501953125,0.8772257738737969,0.9159070464320249,0.8519535820420997,0.5294165526363669,0.41576178231738453
all,5,1330,63.857142857142854,0.9375842661267929,0.8784072552996061,0.501953125,0.8672877214346025,0.9048345563803749,0.8300519797799316,0.4908815124497519,0.4029681781348519
all,6,1254,57.28787878787879,0.9381948868007698,0.8738820583768951,0.501953125,0.855729172682161,0.8944845025686512,0.806979606177805,0.45753154845915595,0.3883381020992206
all,7,1178,50.79032258064516,0.9389568840898378,0.8676725306438824,0.501953125,0.840277258396991,0.8791576818238429,0.7824793985005981,0.4273346666906092,0.37403734782258424
all,8,1102,44.39655172413793,0.9400718113189249,0.8623084596624658,0.501953125,0.8260226325519329,0.8673773916352998,0.7591433873973517,0.4016579119853212,0.363707770394762
main,1,912,150.16666666666666,0.925646872987866,0.9144803652554335,0.501953125,0.97361377513893,0.9762597620630432,0.9827949737386279,0.7913541137225348,0.4584142854184303
main,2,836,141.95454545454547,0.9248268107260997,0.9083363567148373,0.501953125,0.9609999095221199,0.9640537715940249,0.9710104645935318,0.7319060290492883,0.4488118265539783
main,3,760,133.575,0.9240261218401166,0.902749165692734,0.501953125,0.9495780964305227,0.9539265827603992,0.958509084800452,0.6863670320907164,0.43882773846778933
main,4,684,124.91666666666667,0.9236020089221539,0.8975559287004524,0.501953125,0.9382379267104504,0.9436850887104669,0.9444138690216792,0.6463989227147122,0.42947949186348183
main,5,608,116.71875,0.9230797786933826,0.8922742404787539,0.501953125,0.9269061662767447,0.9325990026219898,0.9295267101110393,0.612786062621589,0.41912597354503056
main,6,532,108.78571428571429,0.9224470292201269,0.8866760448908589,0.501953125,0.9150074525876589,0.9224221951402903,0.9148209635814534,0.5815213921416928,0.4091776315055629
main,7,456,100.58333333333333,0.9217908792867787,0.8804748989723383,0.501953125,0.9016823083923616,0.9113551791231713,0.8988377669627794,0.5501202121751657,0.39752216122790907
main,8,380,92.0,0.9215909672905195,0.874735210504437,0.501953125,0.8884454061699599,0.8978793135823853,0.882782069512063,0.5238165472298599,0.3877990303965346
