configured_batch_size,step,groups,layer_observations,mean_query_tokens,mean_query_fraction,mean_active_experts,mean_active_ratio,mean_effective_experts,median_effective_experts,p25_effective_experts,p75_effective_experts,mean_effective_ratio,mean_top10_load_share,mean_adjacent_top10_jaccard,random_top10_jaccard
16,0,2,38,512.0,1.0,90.15789473684211,0.3521792763157895,27.33949189351221,29.521725331320248,21.557518417325035,35.393326244861804,0.10679489020903207,0.5493742290296053,,0.0199203187250996
16,1,2,38,491.5,0.9599609375,121.92105263157895,0.47625411184210525,36.800364522377336,38.455548257122786,29.149396042537806,45.9843434516109,0.14375142391553647,0.4612607051008874,0.531669354037775,0.0199203187250996
16,2,2,38,406.5,0.7939453125,123.02631578947368,0.4805715460526316,37.0284611232129,40.60557713824113,26.37591744390002,46.268031039452225,0.1446424262625504,0.45705383449080716,0.7879226037120773,0.0199203187250996
16,3,2,38,368.0,0.71875,117.23684210526316,0.45795641447368424,37.08154673162537,41.666038729568626,26.021094130712694,48.00485717657834,0.1448497919204116,0.45478149713662397,0.8371365476628634,0.0199203187250996
16,4,2,38,334.0,0.65234375,117.26315789473684,0.45805921052631576,38.46562220608774,42.950413605858245,26.978122294336664,48.85437548547846,0.15025633674253022,0.44557120537066197,0.8157894736842105,0.0199203187250996
16,5,2,38,306.0,0.59765625,118.52631578947368,0.4629934210526316,38.48770052633728,42.70962681622967,27.878167280017053,48.50265406683071,0.150342580181005,0.444113695329874,0.849895718316771,0.0199203187250996
16,6,2,38,281.5,0.5498046875,124.57894736842105,0.48663651315789475,41.203900051934866,45.21192402436954,30.489994388112983,52.099632200891904,0.16095273457787057,0.42571721106616106,0.8086124401913876,0.0199203187250996
16,7,2,38,244.5,0.4775390625,123.71052631578948,0.48324424342105265,41.85801164990163,45.763091485310994,31.477755178249026,51.86477633048629,0.16350785800742823,0.4183373756666187,0.795415111204585,0.0199203187250996
16,8,2,38,215.5,0.4208984375,118.76315789473684,0.46391858552631576,42.22429869018491,44.81215782172045,32.81219144034401,52.2491407247974,0.1649386667585348,0.41321556054997355,0.7948717948717948,0.0199203187250996
16,9,2,38,188.5,0.3681640625,114.1842105263158,0.4460320723684211,41.84783611848399,44.87197662058273,34.46512286838123,49.85765825243166,0.16346810983782809,0.41271459113423165,0.8098392835234941,0.0199203187250996
16,10,2,38,166.0,0.32421875,112.76315789473684,0.44048108552631576,42.711299918320805,46.42112007959861,37.38667194113428,50.248107670343146,0.16684101530594064,0.40420543217286914,0.8114341798552325,0.0199203187250996
16,11,2,38,137.5,0.2685546875,109.34210526315789,0.4271175986842105,42.873106429042835,45.07298211465958,37.13937939950601,50.947173231270696,0.16747307198844857,0.3995286856253537,0.7769598822230401,0.0199203187250996
16,12,2,38,117.0,0.228515625,105.84210526315789,0.4134457236842105,43.130476235667146,45.07290522980406,36.92076442723099,50.38002701469286,0.1684784227955748,0.3968890763039765,0.7751809593914857,0.0199203187250996
16,13,2,38,101.0,0.197265625,101.84210526315789,0.3978207236842105,42.77561263549823,44.33980608739233,37.42592104373422,50.57685111635455,0.16709223685741495,0.3968625868917577,0.7467181940866151,0.0199203187250996
16,14,2,38,86.0,0.16796875,106.92105263157895,0.41766036184210525,48.87138190194622,49.949484254569484,43.666929142826774,58.60098986566109,0.19090383555447743,0.3591186773752563,0.7042957042957042,0.0199203187250996
16,15,2,38,64.5,0.1259765625,99.63157894736842,0.3891858552631579,48.05032563846046,50.0185723723454,42.71963023848023,56.72619860482854,0.18769658452523616,0.35872187261632343,0.6784268363215732,0.0199203187250996
16,16,2,38,46.0,0.08984375,90.23684210526316,0.35248766447368424,46.81665778296765,47.003671298797464,41.14605081424855,53.05319182638999,0.1828775694647174,0.35781328320802,0.635487319697846,0.0199203187250996
16,17,2,38,33.0,0.064453125,75.0,0.29296875,40.41074712559411,40.434028379632004,34.7909195716052,46.682643119060096,0.157854480959352,0.39527333594937947,0.5122027095711307,0.0199203187250996
16,18,2,38,23.0,0.044921875,59.921052631578945,0.23406661184210525,34.10003930367572,32.92394121689231,29.486921242023282,38.4,0.1332032785299833,0.4399801587301587,0.6484896682265103,0.0199203187250996
16,19,2,38,16.5,0.0322265625,46.973684210526315,0.18349095394736842,28.071128651710907,29.22922922922923,24.427281460134488,31.27810140237325,0.10965284629574573,0.4929204805491991,0.5896647212436686,0.0199203187250996
16,20,2,38,13.5,0.0263671875,40.421052631578945,0.15789473684210525,26.078562330309087,26.078877773945038,21.87299258172332,29.257142857142856,0.10186938410276987,0.5157332063711911,0.6573777100092889,0.0199203187250996
16,21,2,38,10.5,0.0205078125,36.23684210526316,0.1415501644736842,23.954452040867537,23.27032385988103,20.64777327935223,25.89465087790935,0.09357207828463882,0.5441611842105264,0.5065855197434145,0.0199203187250996
