phase,lag,observations,mean_query_tokens,mean_oracle_auc,mean_previous_auc,mean_random_auc,mean_recovered_oracle_gain,median_recovered_oracle_gain,mean_load_cosine,mean_top10_jaccard,mean_previous_top10_current_load_share
all,1,1805,74.86315789473684,0.9365847770052566,0.9000839202126567,0.501953125,0.9183531590561071,0.9541934108618936,0.9113014265350817,0.641086665955237,0.4480321969641518
all,2,1729,67.36263736263736,0.9371468250252076,0.8850375580548351,0.501953125,0.8836305731110933,0.9295370289466133,0.8636658478781277,0.5560522694099969,0.4183807795890897
all,3,1653,61.11494252873563,0.9377745074557345,0.8738530536152388,0.501953125,0.857542051692769,0.909912462109408,0.8271962149621549,0.5019439071177256,0.3958877609756201
all,4,1577,55.36144578313253,0.9384713241347427,0.8651073344175453,0.501953125,0.8367157816362747,0.8933366733466935,0.7967521942575642,0.46093409057928036,0.37697199244594864
all,5,1501,50.0,0.9392751512718984,0.8586549336365377,0.501953125,0.82076049612054,0.878512142637565,0.7680449450651463,0.4262882964305958,0.36015823469079156
all,6,1425,44.93333333333333,0.9400582376398352,0.8526849900312304,0.501953125,0.8057725899631881,0.8624621829183147,0.7409560771620326,0.3915530338375376,0.34418439357766367
all,7,1349,40.028169014084504,0.9411063403558025,0.846037145702618,0.501953125,0.7890698038020356,0.8469977302427952,0.7129202904360238,0.3637175225658381,0.32789610849821893
all,8,1273,35.56716417910448,0.9422212968444829,0.8420013069776037,0.501953125,0.7779961409538841,0.836220789685737,0.6888437440753568,0.34016154553742806,0.3136086046668898
main,1,912,131.29166666666666,0.9231663640674379,0.9088937008343033,0.501953125,0.9660101172108626,0.9712411923887584,0.9718577529416436,0.7462040668310018,0.42810785604431223
main,2,836,120.9090909090909,0.9231089258416262,0.9023153334683875,0.501953125,0.9504744377107041,0.9576015202529438,0.9536162567570965,0.6826150051593339,0.4179906644460131
main,3,760,112.675,0.9230703452096638,0.896646967479366,0.501953125,0.936983186804236,0.9457673116834462,0.936795678606716,0.6315393112219738,0.4086986112742186
main,4,684,105.13888888888889,0.923043098970036,0.8918357302060655,0.501953125,0.9255196350738826,0.9357283917904284,0.9209198587875974,0.5947525287865302,0.3998244701987003
main,5,608,98.125,0.9230990190693006,0.8868398017946096,0.501953125,0.9134789509342881,0.9262303815601444,0.9033689568056191,0.5597411784766662,0.38997356904421665
main,6,532,91.42857142857143,0.9228856958116171,0.8817499369751014,0.501953125,0.9017342255014154,0.9156314394758693,0.8869398474855033,0.5241225001839773,0.3790318786094242
main,7,456,84.66666666666667,0.9231242427083177,0.8762665968015458,0.501953125,0.8882675158454845,0.9031818505989011,0.8668156390637624,0.49439376224654047,0.36738172893975746
main,8,380,78.65,0.9232629274158998,0.8714373349147186,0.501953125,0.8765836159079269,0.8911452947673593,0.8487812354591224,0.4708854375487095,0.35765015556130336
