configured_batch_size,layer_idx,samples,mean_actual_batch_size,mean_query_tokens,mean_active_experts,min_active_experts,max_active_experts,mean_active_ratio,mean_assignments_per_active_expert,uniform_null_active_ratio
1,all,128,1.0,32.0,43.671052631578945,38.73684210526316,50.421052631578945,0.17059004934210525,6.105007156191256,0.6379447107436834
1,1,128,1.0,32.0,27.625,22,31,0.10791015625,9.311999857672344,0.6379447107436834
1,2,128,1.0,32.0,30.2578125,27,35,0.118194580078125,8.487565547449078,0.6379447107436834
1,3,128,1.0,32.0,37.1328125,31,45,0.145050048828125,6.936902370209454,0.6379447107436834
1,4,128,1.0,32.0,38.546875,29,48,0.15057373046875,6.708268009782556,0.6379447107436834
1,5,128,1.0,32.0,40.8359375,34,51,0.159515380859375,6.302430381198724,0.6379447107436834
1,6,128,1.0,32.0,41.9140625,33,58,0.163726806640625,6.173392794113877,0.6379447107436834
1,7,128,1.0,32.0,49.328125,41,58,0.19268798828125,5.221247735354837,0.6379447107436834
1,8,128,1.0,32.0,48.2734375,41,59,0.188568115234375,5.336323207386071,0.6379447107436834
1,9,128,1.0,32.0,48.1875,33,65,0.188232421875,5.399646223376887,0.6379447107436834
1,10,128,1.0,32.0,46.796875,36,58,0.18280029296875,5.513390957404933,0.6379447107436834
1,11,128,1.0,32.0,46.625,37,62,0.18212890625,5.538102080636189,0.6379447107436834
1,12,128,1.0,32.0,52.5390625,41,65,0.205230712890625,4.91734165585374,0.6379447107436834
1,13,128,1.0,32.0,51.6953125,40,67,0.201934814453125,5.007322297803233,0.6379447107436834
1,14,128,1.0,32.0,51.296875,40,64,0.20037841796875,5.0481340012049465,0.6379447107436834
1,15,128,1.0,32.0,52.09375,40,69,0.2034912109375,4.971004023924245,0.6379447107436834
1,16,128,1.0,32.0,43.7265625,32,60,0.170806884765625,5.9285616395215115,0.6379447107436834
1,17,128,1.0,32.0,41.609375,26,59,0.16253662109375,6.297724255011592,0.6379447107436834
1,18,128,1.0,32.0,39.03125,26,51,0.1524658203125,6.6559901742217145,0.6379447107436834
1,19,128,1.0,32.0,42.234375,25,65,0.16497802734375,6.239788755507933,0.6379447107436834
2,all,64,2.0,64.0,56.495065789473685,50.73684210526316,62.89473684210526,0.22068385074013158,9.557569764532076,0.868915967521525
2,1,64,2.0,64.0,31.390625,29,35,0.12261962890625,16.346307982187717,0.868915967521525
2,2,64,2.0,64.0,36.4375,32,44,0.142333984375,14.102149748245798,0.868915967521525
2,3,64,2.0,64.0,44.296875,38,52,0.17303466796875,11.621381819392449,0.868915967521525
2,4,64,2.0,64.0,46.734375,37,57,0.18255615234375,11.041386044855123,0.868915967521525
2,5,64,2.0,64.0,49.46875,42,60,0.1932373046875,10.41907081849685,0.868915967521525
2,6,64,2.0,64.0,56.234375,45,71,0.21966552734375,9.172207763414079,0.868915967521525
2,7,64,2.0,64.0,63.125,52,78,0.24658203125,8.15505153513346,0.868915967521525
2,8,64,2.0,64.0,62.296875,52,73,0.24334716796875,8.26391334585113,0.868915967521525
2,9,64,2.0,64.0,62.34375,52,80,0.2435302734375,8.296823736624553,0.868915967521525
2,10,64,2.0,64.0,62.59375,54,75,0.2445068359375,8.215850655261008,0.868915967521525
2,11,64,2.0,64.0,60.9375,52,72,0.238037109375,8.444482905073443,0.868915967521525
2,12,64,2.0,64.0,70.984375,56,85,0.27728271484375,7.257614240204023,0.868915967521525
2,13,64,2.0,64.0,69.71875,55,85,0.2723388671875,7.398090443759566,0.868915967521525
2,14,64,2.0,64.0,68.75,55,83,0.2685546875,7.498177976099381,0.868915967521525
2,15,64,2.0,64.0,68.015625,58,80,0.26568603515625,7.574585210162468,0.868915967521525
2,16,64,2.0,64.0,58.71875,46,71,0.2293701171875,8.80861893058884,0.868915967521525
2,17,64,2.0,64.0,55.0,43,70,0.21484375,9.415471932646595,0.868915967521525
2,18,64,2.0,64.0,50.234375,42,59,0.19622802734375,10.280766131835067,0.868915967521525
2,19,64,2.0,64.0,56.125,43,77,0.21923828125,9.2818743062779,0.868915967521525
4,all,32,4.0,128.0,69.54934210526316,63.526315789473685,77.05263157894737,0.27167711759868424,15.682526738776982,0.9828169764291821
4,1,32,4.0,128.0,35.34375,32,39,0.1380615234375,29.065018262541482,0.9828169764291821
4,2,32,4.0,128.0,43.3125,37,49,0.169189453125,23.733368636465276,0.9828169764291821
4,3,32,4.0,128.0,51.25,46,58,0.2001953125,20.055990136735137,0.9828169764291821
4,4,32,4.0,128.0,56.34375,47,69,0.2200927734375,18.297139205335935,0.9828169764291821
4,5,32,4.0,128.0,58.9375,51,68,0.230224609375,17.459750882612713,0.9828169764291821
4,6,32,4.0,128.0,71.15625,62,86,0.2779541015625,14.477033858789335,0.9828169764291821
4,7,32,4.0,128.0,76.71875,68,86,0.2996826171875,13.387921392947126,0.9828169764291821
4,8,32,4.0,128.0,75.90625,67,83,0.2965087890625,13.54240153574111,0.9828169764291821
4,9,32,4.0,128.0,78.125,64,93,0.30517578125,13.204869013171368,0.9828169764291821
4,10,32,4.0,128.0,78.15625,68,87,0.3052978515625,13.149207512140649,0.9828169764291821
4,11,32,4.0,128.0,74.8125,65,85,0.292236328125,13.738610504017252,0.9828169764291821
4,12,32,4.0,128.0,90.15625,77,101,0.3521728515625,11.408367280254136,0.9828169764291821
4,13,32,4.0,128.0,86.78125,72,103,0.3389892578125,11.86497357172543,0.9828169764291821
4,14,32,4.0,128.0,86.6875,75,99,0.338623046875,11.868277339479514,0.9828169764291821
4,15,32,4.0,128.0,84.21875,75,96,0.3289794921875,12.204840762280128,0.9828169764291821
4,16,32,4.0,128.0,73.0,63,82,0.28515625,14.105831933773846,0.9828169764291821
4,17,32,4.0,128.0,68.53125,59,80,0.2677001953125,15.040294647010874,0.9828169764291821
4,18,32,4.0,128.0,62.46875,56,72,0.2440185546875,16.467593248280693,0.9828169764291821
4,19,32,4.0,128.0,69.53125,55,87,0.2716064453125,14.89651831346065,0.9828169764291821
8,all,16,8.0,256.0,82.69407894736842,77.10526315789474,87.94736842105263,0.3230237458881579,26.586875008393434,0.9997047437009647
8,1,16,8.0,256.0,39.3125,36,42,0.153564453125,52.21265106040459,0.9997047437009647
8,2,16,8.0,256.0,49.4375,45,54,0.193115234375,41.537793110695546,0.9997047437009647
8,3,16,8.0,256.0,58.0625,52,64,0.226806640625,35.35960197248841,0.9997047437009647
8,4,16,8.0,256.0,66.75,60,79,0.2607421875,30.819994544263018,0.9997047437009647
8,5,16,8.0,256.0,68.25,64,74,0.2666015625,30.0712375942291,0.9997047437009647
8,6,16,8.0,256.0,87.1875,78,96,0.340576171875,23.558036056946264,0.9997047437009647
8,7,16,8.0,256.0,90.0,83,97,0.3515625,22.797884896120546,0.9997047437009647
8,8,16,8.0,256.0,90.375,84,99,0.35302734375,22.713864303113212,0.9997047437009647
8,9,16,8.0,256.0,94.75,78,107,0.3701171875,21.73960361219957,0.9997047437009647
8,10,16,8.0,256.0,93.125,86,100,0.36376953125,22.03909343673992,0.9997047437009647
8,11,16,8.0,256.0,88.0625,76,97,0.343994140625,23.353801499317626,0.9997047437009647
8,12,16,8.0,256.0,107.1875,102,118,0.418701171875,19.13049589849649,0.9997047437009647
8,13,16,8.0,256.0,102.8125,90,119,0.401611328125,20.02942773762008,0.9997047437009647
8,14,16,8.0,256.0,104.0625,96,112,0.406494140625,19.729926804131704,0.9997047437009647
8,15,16,8.0,256.0,100.0625,92,111,0.390869140625,20.514876585145664,0.9997047437009647
8,16,16,8.0,256.0,89.25,79,97,0.3486328125,23.006579830980034,0.9997047437009647
8,17,16,8.0,256.0,84.0,74,91,0.328125,24.458255949134706,0.9997047437009647
8,18,16,8.0,256.0,75.6875,66,82,0.295654296875,27.135587706296516,0.9997047437009647
8,19,16,8.0,256.0,82.8125,66,92,0.323486328125,24.941912561152265,0.9997047437009647
16,all,8,16.0,512.0,95.34210526315789,92.89473684210526,97.57894736842105,0.3724300986842105,46.31824807292265,0.9999999128237179
16,1,8,16.0,512.0,43.875,42,46,0.17138671875,93.44664673602995,0.9999999128237179
16,2,8,16.0,512.0,55.375,52,58,0.21630859375,74.06559972233362,0.9999999128237179
16,3,8,16.0,512.0,65.0,63,67,0.25390625,63.03777284075792,0.9999999128237179
16,4,8,16.0,512.0,79.375,73,86,0.31005859375,51.80865822738328,0.9999999128237179
16,5,8,16.0,512.0,76.5,71,82,0.298828125,53.64477814444173,0.9999999128237179
16,6,8,16.0,512.0,102.25,97,106,0.3994140625,40.09813472569087,0.9999999128237179
16,7,8,16.0,512.0,103.5,101,108,0.404296875,39.599520520855535,0.9999999128237179
16,8,8,16.0,512.0,103.75,99,108,0.4052734375,39.51224868622137,0.9999999128237179
16,9,8,16.0,512.0,108.875,98,117,0.42529296875,37.70983069960789,0.9999999128237179
16,10,8,16.0,512.0,108.875,103,115,0.42529296875,37.66343937665874,0.9999999128237179
16,11,8,16.0,512.0,104.75,100,114,0.4091796875,39.19719101836988,0.9999999128237179
16,12,8,16.0,512.0,124.25,121,127,0.4853515625,32.97532777160476,0.9999999128237179
16,13,8,16.0,512.0,121.375,117,135,0.47412109375,33.81105231360408,0.9999999128237179
16,14,8,16.0,512.0,118.75,108,126,0.4638671875,34.56749860144751,0.9999999128237179
16,15,8,16.0,512.0,112.875,109,117,0.44091796875,36.30596450409534,0.9999999128237179
16,16,8,16.0,512.0,104.5,99,110,0.408203125,39.24948067871728,0.9999999128237179
16,17,8,16.0,512.0,97.25,88,104,0.3798828125,42.20684207725077,0.9999999128237179
16,18,8,16.0,512.0,88.125,79,92,0.34423828125,46.58649568904915,0.9999999128237179
16,19,8,16.0,512.0,92.25,84,100,0.3603515625,44.56023105141061,0.9999999128237179
32,all,4,32.0,1024.0,107.35526315789474,104.89473684210526,108.89473684210526,0.4193564967105263,82.52281755201446,0.9999999999999925
32,1,4,32.0,1024.0,47.75,47,49,0.1865234375,171.61152120422636,0.9999999999999925
32,2,4,32.0,1024.0,62.5,61,65,0.244140625,131.1631697992354,0.9999999999999925
32,3,4,32.0,1024.0,72.0,68,75,0.28125,113.92355269048258,0.9999999999999925
32,4,4,32.0,1024.0,89.5,84,93,0.349609375,91.67456327757003,0.9999999999999925
32,5,4,32.0,1024.0,85.5,80,96,0.333984375,96.31140159767611,0.9999999999999925
32,6,4,32.0,1024.0,118.5,118,119,0.462890625,69.13203247400655,0.9999999999999925
32,7,4,32.0,1024.0,116.25,114,120,0.4541015625,70.49544701333544,0.9999999999999925
32,8,4,32.0,1024.0,117.75,115,120,0.4599609375,69.58971985672753,0.9999999999999925
32,9,4,32.0,1024.0,123.0,115,128,0.48046875,66.70882468443197,0.9999999999999925
32,10,4,32.0,1024.0,125.75,118,133,0.4912109375,65.26441269595983,0.9999999999999925
32,11,4,32.0,1024.0,117.0,115,122,0.45703125,70.05944896404257,0.9999999999999925
32,12,4,32.0,1024.0,137.5,133,142,0.537109375,59.62943623645681,0.9999999999999925
32,13,4,32.0,1024.0,133.5,126,147,0.521484375,61.57706155048348,0.9999999999999925
32,14,4,32.0,1024.0,133.25,124,137,0.5205078125,61.584309621606536,0.9999999999999925
32,15,4,32.0,1024.0,128.75,125,131,0.5029296875,63.64740293235376,0.9999999999999925
32,16,4,32.0,1024.0,118.5,114,125,0.462890625,69.2091179883651,0.9999999999999925
32,17,4,32.0,1024.0,110.0,104,113,0.4296875,74.55236623378217,0.9999999999999925
32,18,4,32.0,1024.0,99.25,98,101,0.3876953125,82.55314609011921,0.9999999999999925
32,19,4,32.0,1024.0,103.5,99,109,0.404296875,79.24659857741348,0.9999999999999925
