configured_batch_size,layer_idx,samples,mean_actual_batch_size,mean_query_tokens,mean_active_experts,min_active_experts,max_active_experts,mean_active_ratio,mean_assignments_per_active_expert,uniform_null_active_ratio
1,all,128,1.0,32.0,43.008634868421055,37.8421052631579,48.68421052631579,0.16800247995476975,6.31598262286854,0.6379447107436834
1,1,128,1.0,32.0,23.640625,20,27,0.09234619140625,10.863458892154544,0.6379447107436834
1,2,128,1.0,32.0,26.2265625,23,29,0.102447509765625,9.789227614519968,0.6379447107436834
1,3,128,1.0,32.0,31.4609375,27,40,0.122894287109375,8.194810662833138,0.6379447107436834
1,4,128,1.0,32.0,34.140625,26,42,0.13336181640625,7.568290938057088,0.6379447107436834
1,5,128,1.0,32.0,44.0625,34,56,0.172119140625,5.845494084039833,0.6379447107436834
1,6,128,1.0,32.0,38.1171875,31,48,0.148895263671875,6.762985768066279,0.6379447107436834
1,7,128,1.0,32.0,46.875,40,56,0.18310546875,5.486528529903784,0.6379447107436834
1,8,128,1.0,32.0,46.2734375,34,59,0.180755615234375,5.587906178975765,0.6379447107436834
1,9,128,1.0,32.0,48.1953125,41,57,0.188262939453125,5.343248807118827,0.6379447107436834
1,10,128,1.0,32.0,55.3515625,42,67,0.216217041015625,4.663967569256982,0.6379447107436834
1,11,128,1.0,32.0,49.8125,37,64,0.194580078125,5.1916271597471075,0.6379447107436834
1,12,128,1.0,32.0,47.9921875,34,64,0.187469482421875,5.417217417484254,0.6379447107436834
1,13,128,1.0,32.0,50.96875,36,69,0.1990966796875,5.0763208567309235,0.6379447107436834
1,14,128,1.0,32.0,49.265625,39,62,0.19244384765625,5.240223492877514,0.6379447107436834
1,15,128,1.0,32.0,51.265625,39,62,0.20025634765625,5.03588452792336,0.6379447107436834
1,16,128,1.0,32.0,42.84375,32,53,0.1673583984375,6.032527270704333,0.6379447107436834
1,17,128,1.0,32.0,43.828125,28,55,0.17120361328125,5.95042017504251,0.6379447107436834
1,18,128,1.0,32.0,41.0,29,52,0.16015625,6.317329383637024,0.6379447107436834
1,19,128,1.0,32.0,45.84375,36,58,0.1790771484375,5.636200505429012,0.6379447107436834
2,all,64,2.0,64.0,54.625,49.473684210526315,60.36842105263158,0.21337890625,10.183954552903863,0.868915967521525
2,1,64,2.0,64.0,26.625,23,30,0.10400390625,19.323272405311386,0.868915967521525
2,2,64,2.0,64.0,29.3125,25,33,0.114501953125,17.528820065939087,0.868915967521525
2,3,64,2.0,64.0,35.890625,30,43,0.14019775390625,14.363003691087808,0.868915967521525
2,4,64,2.0,64.0,39.609375,32,50,0.15472412109375,13.043579159607095,0.868915967521525
2,5,64,2.0,64.0,52.953125,44,60,0.20684814453125,9.7111661407249,0.868915967521525
2,6,64,2.0,64.0,49.40625,42,60,0.1929931640625,10.417745106471294,0.868915967521525
2,7,64,2.0,64.0,58.109375,49,67,0.22698974609375,8.84933733195851,0.868915967521525
2,8,64,2.0,64.0,60.125,48,73,0.23486328125,8.565177065425784,0.868915967521525
2,9,64,2.0,64.0,62.34375,54,72,0.2435302734375,8.240653767709546,0.868915967521525
2,10,64,2.0,64.0,71.890625,59,83,0.28082275390625,7.163925885357658,0.868915967521525
2,11,64,2.0,64.0,65.796875,55,77,0.25701904296875,7.818001766775456,0.868915967521525
2,12,64,2.0,64.0,63.0625,53,78,0.246337890625,8.177078709414756,0.868915967521525
2,13,64,2.0,64.0,67.9375,58,82,0.265380859375,7.586325411244122,0.868915967521525
2,14,64,2.0,64.0,65.21875,53,80,0.2547607421875,7.899883236550312,0.868915967521525
2,15,64,2.0,64.0,66.78125,57,83,0.2608642578125,7.716031113974382,0.868915967521525
2,16,64,2.0,64.0,55.890625,46,65,0.21832275390625,9.20881848727746,0.868915967521525
