steps_until_acceptance,token_transitions_per_layer,frontier_left_layer,frontier_right_layer,mean_before_frontier,mean_after_frontier,delta_after_minus_before,direction,total_sse,split_sse,variance_explained
0,961,9,10,0.4665314875512586,0.557550261046619,0.09101877349536036,stabilizing_with_depth,0.05646926448904014,0.017227288616725706,0.694926279408699
1,903,9,10,0.5202782588533788,0.611027355811409,0.09074909695803024,stabilizing_with_depth,0.04896730857814945,0.009957525742211764,0.7966495192130064
2,849,14,15,0.5283413372762187,0.6069033440058175,0.07856200672959879,stabilizing_with_depth,0.05558928197302402,0.03285037549424996,0.40905199116996394
3,773,2,3,0.6920329490834018,0.5356751172290324,-0.15635783185436947,destabilizing_with_depth,0.09052483370607171,0.046776189822136174,0.48327781552170046
4,691,2,3,0.7467587405358751,0.5461104732408044,-0.20064826729507068,destabilizing_with_depth,0.12796741466783196,0.055923692366280316,0.5629849011840806
5,641,2,3,0.77983107203076,0.5355946817449984,-0.2442363902857616,destabilizing_with_depth,0.1726745177814667,0.06592988159442237,0.6181840699977407
6,569,2,3,0.7986929688159917,0.5392363841862446,-0.2594565846297471,destabilizing_with_depth,0.2174296601864817,0.09696637300422244,0.5540333691316179
7,501,2,3,0.8209284838027353,0.5456499223318526,-0.2752785614708827,destabilizing_with_depth,0.2573964718491025,0.12179322249193035,0.5268263717175927
8,435,3,4,0.7700133838064872,0.5316754477961374,-0.2383379360103498,destabilizing_with_depth,0.2703693415258823,0.12686204449428584,0.5307824334729854
9,356,3,4,0.7898525943469763,0.5252462737013299,-0.2646063206456464,destabilizing_with_depth,0.32538551096204055,0.14850170904466786,0.5436130250372702
10,297,2,3,0.8434278403975374,0.5480760123659707,-0.2953518280315667,destabilizing_with_depth,0.29935986604731796,0.14325924084026553,0.5214480727432533
11,241,3,4,0.7822413639841027,0.537425558535517,-0.24481580544858572,destabilizing_with_depth,0.33499665909474335,0.18358248158542195,0.4519871270313135
12,197,2,3,0.8390513040259233,0.5697766948886687,-0.26927460913725465,destabilizing_with_depth,0.2939308852058458,0.16417826866454463,0.441439205854236
13,152,2,3,0.8341452407241882,0.5633473853288095,-0.2707978553953787,destabilizing_with_depth,0.2867666540359092,0.15554190305964405,0.45760115107328014
14,124,2,3,0.8235821526144107,0.5400174251217894,-0.2835647274926213,destabilizing_with_depth,0.31690589652865586,0.17301618815756145,0.4540455382725368
15,97,3,4,0.7956749626852719,0.5327152515296846,-0.26295971115558736,destabilizing_with_depth,0.398068862855427,0.2233796594254565,0.43884166718514517
16,66,3,4,0.8046447379780713,0.545807265125447,-0.2588374728526244,destabilizing_with_depth,0.3731560458656611,0.20390087781665114,0.4535774508392745
17,49,3,4,0.7853179322567078,0.5253326039040325,-0.2599853283526753,destabilizing_with_depth,0.4105054923859822,0.23974581838518638,0.41597415179097585
18,31,4,5,0.7922124470511567,0.562026742671904,-0.23018570437925268,destabilizing_with_depth,0.39690528479912496,0.22958278427100054,0.42156783226710337
19,24,4,5,0.7868265993265994,0.5935397318730652,-0.19328686745353418,destabilizing_with_depth,0.30853492632534985,0.19055656907271806,0.3823825025508577
20,18,4,5,0.7721099887766554,0.4796111707222818,-0.29249881805437355,destabilizing_with_depth,0.43405763405259673,0.16388218595826348,0.6224414153757168
21,6,3,4,0.782716049382716,0.4325974950974951,-0.3501185542852209,destabilizing_with_depth,0.4918141751513836,0.18213080153932515,0.629675575163599
22,1,3,4,0.6592592592592593,0.37609057609057606,-0.28316868316868327,destabilizing_with_depth,0.5448520325643205,0.3422806562422501,0.3717915401153551
