batch_size,layer_idx,step_a,step_b,step_distance,matched_tokens,similarity_matrix_pearson,nearest_expert_consistency
16,10,0,1,1,64,0.8877027503570916,0.59765625
16,10,0,2,2,64,0.8734868668912902,0.5703125
16,10,0,3,3,64,0.8740280013804191,0.5703125
16,10,0,4,4,64,0.8550638969034615,0.55859375
16,10,0,8,8,64,0.7764776670252455,0.4765625
16,10,0,12,12,64,0.6935078248085732,0.4296875
16,10,1,2,1,64,0.9739579910822778,0.79296875
16,10,1,3,2,64,0.9510857735233811,0.6875
16,10,1,4,3,64,0.9439585378176187,0.6875
16,10,1,8,7,64,0.8465050364191864,0.4921875
16,10,1,12,11,64,0.7647205109717544,0.44921875
16,10,2,3,1,64,0.9597456724509199,0.734375
16,10,2,4,2,64,0.9456596667438489,0.68359375
16,10,2,8,6,64,0.8585488899096628,0.5625
16,10,2,12,10,64,0.7756238931009877,0.44921875
16,10,3,4,1,64,0.9705743996567312,0.76953125
16,10,3,8,5,64,0.8988647723265976,0.578125
16,10,3,12,9,64,0.8126700859432908,0.4609375
16,10,4,8,4,64,0.9085901695905165,0.62890625
16,10,4,12,8,64,0.825566595934809,0.5078125
16,10,8,12,4,64,0.9255843425610167,0.65625
