layer_idx,observations,accepted_observations,unresolved_observations,mean_route_jaccard_accepted,mean_route_jaccard_unresolved,route_stability_acceptance_auc,confidence_acceptance_auc
1,7982,961,7021,0.500619972003947,0.7502235693376557,0.291139662623546,0.9746805369531364
2,7982,961,7021,0.39392206821967485,0.7254989262110755,0.2154011430847935,0.9746805369531364
3,7982,961,7021,0.4035915523948822,0.5903274367310829,0.30891790215795306,0.9746805369531364
4,7982,961,7021,0.4336982938439754,0.5335836645906437,0.38280594517917926,0.9746805369531364
5,7982,961,7021,0.49220817337362605,0.5139851270601876,0.47282887475524965,0.9746805369531364
6,7982,961,7021,0.49826348931447784,0.5170480028762325,0.4801081370130726,0.9746805369531364
7,7982,961,7021,0.47946434418858974,0.43167147306158843,0.5496597023260529,0.9746805369531364
8,7982,961,7021,0.5211403465305651,0.4917891647987076,0.5335548283053323,0.9746805369531364
9,7982,961,7021,0.4758751480915893,0.4653456214772267,0.5131935100006951,0.9746805369531364
10,7982,961,7021,0.5509979672310578,0.523338567776682,0.5312766917028016,0.9746805369531364
11,7982,961,7021,0.5642881803131543,0.5268563717217756,0.541614638765434,0.9746805369531364
12,7982,961,7021,0.5444256980157085,0.5030399532892055,0.5445794325067017,0.9746805369531364
13,7982,961,7021,0.5690558025625663,0.5290963289823851,0.5426810100396002,0.9746805369531364
14,7982,961,7021,0.5596675494698388,0.5375776765607274,0.5268237950041654,0.9746805369531364
15,7982,961,7021,0.5563711349351307,0.5537506820514939,0.5004979857513827,0.9746805369531364
16,7982,961,7021,0.5681266819664321,0.5982474630245603,0.46330089558883925,0.9746805369531364
17,7982,961,7021,0.5650734281327413,0.619608674729028,0.434433135853329,0.9746805369531364
18,7982,961,7021,0.5407316235620085,0.6544092221061313,0.3667335291583255,0.9746805369531364
19,7982,961,7021,0.5567645442775515,0.694549847120706,0.3445151389891571,0.9746805369531364
