steps_until_acceptance,observations,mean_route_jaccard,median_route_jaccard
0,18240,0.5120904972220761,0.45454545454545453
1,17138,0.5639663548287658,0.6
2,16131,0.5493417912238816,0.6
3,14706,0.5638724679524354,0.6
4,13148,0.5669535109449926,0.6
5,11970,0.5738588098989101,0.6
6,10963,0.5677650210168681,0.6
7,9633,0.5810422941534745,0.6
8,8322,0.5766089314034519,0.6
9,6973,0.5641650730995346,0.6
10,5757,0.5821331969325716,0.6
11,4617,0.5755221555091601,0.6
12,3952,0.5793041079478326,0.6
13,3078,0.5967215514973799,0.6
14,2394,0.5877727211060545,0.6
15,1843,0.5878886652625123,0.6
16,1406,0.5781711097500571,0.6
17,1064,0.5735687662379391,0.6
18,722,0.5962212610412057,0.6
19,494,0.6330599225336068,0.6
20,342,0.599367688841373,0.6
21,171,0.5670993074501847,0.6
22,114,0.47727905622642464,0.45454545454545453
23,38,0.5038189880295143,0.45454545454545453
