steps_until_acceptance,token_transitions_per_layer,frontier_left_layer,frontier_right_layer,mean_before_frontier,mean_after_frontier,delta_after_minus_before,direction,total_sse,split_sse,variance_explained
0,984,9,10,0.427066416971566,0.5192218824535898,0.0921554654820238,stabilizing_with_depth,0.05487524353537484,0.014646997028071547,0.7330855211853504
1,827,12,13,0.5218137543409611,0.6107713096484905,0.08895755530752936,stabilizing_with_depth,0.06498966141691188,0.030003897296462332,0.538328148780683
2,750,2,3,0.6727508491508492,0.5205713763360822,-0.15217947281476696,destabilizing_with_depth,0.09744179548428111,0.056000104633221456,0.4252968723030648
3,669,2,3,0.7402047379625856,0.5086822319214828,-0.2315225060411028,destabilizing_with_depth,0.1643430277651036,0.06842245895874655,0.5836607132701538
4,606,2,3,0.7882259288199882,0.5190522521332073,-0.26917367668678094,destabilizing_with_depth,0.201793119450266,0.07213775526517606,0.6425162787428184
5,554,2,3,0.8257839232568474,0.5048843207475614,-0.32089960250928595,destabilizing_with_depth,0.2778829215280883,0.09360908646066697,0.6631347981160296
6,477,2,3,0.8538784299790589,0.5137114348361111,-0.3401669951429478,destabilizing_with_depth,0.3242328534537312,0.11716643893395243,0.6386348956131542
7,438,2,3,0.8683532854765732,0.5105745241119939,-0.3577787613645793,destabilizing_with_depth,0.35589113621965,0.12682840828062547,0.643631449696041
8,400,2,3,0.8688079420579421,0.5013617787441317,-0.3674461633138104,destabilizing_with_depth,0.42413515737195295,0.18252635633209285,0.5696504919255654
9,350,4,5,0.7774544661687519,0.48360269148840573,-0.2938517746803462,destabilizing_with_depth,0.4650142589683709,0.19233363112798482,0.5863919709587511
10,290,4,5,0.7912337470958161,0.49236686174617206,-0.298866885349644,destabilizing_with_depth,0.46385943715054273,0.18179181033391975,0.6080885807764209
11,249,4,5,0.7907231100002184,0.48389537578292596,-0.3068277342172925,destabilizing_with_depth,0.49875749330103597,0.20146299282234917,0.5960702434985738
12,214,4,5,0.7863757218897406,0.48222579082392164,-0.30414993106581895,destabilizing_with_depth,0.5322504270946264,0.24012248846091364,0.5488543057228523
13,183,4,5,0.7927930600061748,0.5021941588061807,-0.2905989011999941,destabilizing_with_depth,0.43998694948783057,0.17330993460790228,0.6061021018699652
14,142,4,5,0.7862600232318542,0.47634700198080476,-0.3099130212510494,destabilizing_with_depth,0.46974589604353,0.16644248317736143,0.645675492688205
15,100,4,5,0.7818828948828949,0.45955980315980316,-0.3223230917230917,destabilizing_with_depth,0.5462408958271613,0.2181603417494794,0.6006151435821667
16,74,4,5,0.765020715020715,0.47566379566379563,-0.2893569193569194,destabilizing_with_depth,0.4381505996372306,0.17374819928019877,0.6034509608704071
17,53,4,5,0.7658801366348537,0.46314588276852425,-0.3027342538663294,destabilizing_with_depth,0.5486606714247804,0.2592458446963494,0.5274932974088864
18,41,4,5,0.8009841107402083,0.49129392739148836,-0.3096901833487199,destabilizing_with_depth,0.5232358758342498,0.22036847689983793,0.5788353072149699
19,33,4,5,0.8094888276706458,0.47525695404483287,-0.3342318736258129,destabilizing_with_depth,0.5772593978843108,0.22448799152403276,0.6111141848070482
20,25,4,5,0.7991457431457432,0.44526489806489805,-0.3538808450808451,destabilizing_with_depth,0.6649925359254768,0.2695241595618985,0.5946959627346808
21,17,4,5,0.7471776589423649,0.42055556643791936,-0.3266220925044455,destabilizing_with_depth,0.6503772529597174,0.31348675407977267,0.5179924379993819
22,12,4,5,0.7916860916860917,0.4073171273171273,-0.3843689643689644,destabilizing_with_depth,0.803131960124169,0.33658616821868387,0.5809080139624307
23,8,4,5,0.7183080808080808,0.4125343175343175,-0.3057737632737633,destabilizing_with_depth,0.7013095489192855,0.40605398795107694,0.4210060470774937
24,6,3,4,0.8888888888888888,0.39539002664002665,-0.4934988622488622,destabilizing_with_depth,1.0257996493007095,0.4105378546710132,0.5997874877897666
25,4,4,5,0.8638888888888889,0.4397014097014097,-0.42418747918747923,destabilizing_with_depth,1.067534103732116,0.49931825899708027,0.5322695010384626
26,3,5,6,0.8281481481481482,0.5346600489457632,-0.29348809920238494,destabilizing_with_depth,0.4974598840441379,0.18011943635255767,0.6379216854869522
27,2,4,5,0.8888888888888888,0.49590039590039586,-0.392988492988493,destabilizing_with_depth,0.8006497957042152,0.3129446726893723,0.6091366358070193
28,1,7,8,0.7379509379509379,0.29257409257409256,-0.44537684537684535,destabilizing_with_depth,1.3824017398884636,0.5054393772875291,0.6343759106319489
