batch_size,layer_idx,step_a,step_b,step_distance,matched_tokens,similarity_matrix_pearson,nearest_expert_consistency
8,10,0,1,1,64,0.7845516639286558,0.44140625
8,10,0,2,2,64,0.7689279677615747,0.41796875
8,10,0,3,3,64,0.7423642872695271,0.37890625
8,10,0,4,4,64,0.72874876296623,0.37109375
8,10,0,8,8,64,0.6665955809932673,0.328125
8,10,0,12,12,64,0.5779264907567812,0.3125
8,10,1,2,1,64,0.9631794555449286,0.68359375
8,10,1,3,2,64,0.9465244662759105,0.6953125
8,10,1,4,3,64,0.9208470193678197,0.6328125
8,10,1,8,7,64,0.8637935545193891,0.53515625
8,10,1,12,11,64,0.7508215044218035,0.49609375
8,10,2,3,1,64,0.9637743840561522,0.73828125
8,10,2,4,2,64,0.9553658904955893,0.69921875
8,10,2,8,6,64,0.8986152794993859,0.5390625
8,10,2,12,10,64,0.7836585488800316,0.46484375
8,10,3,4,1,64,0.9679559900147157,0.7734375
8,10,3,8,5,64,0.9162904794002096,0.6328125
8,10,3,12,9,64,0.7972614172150047,0.52734375
8,10,4,8,4,64,0.9436765166524861,0.66796875
8,10,4,12,8,64,0.8285819069221918,0.54296875
8,10,8,12,4,64,0.8878043635568486,0.59765625
