steps_until_acceptance,observations,mean_route_jaccard,median_route_jaccard
0,18696,0.47556929354105215,0.45454545454545453
1,15713,0.5545875905068929,0.6
2,14250,0.5365902682113208,0.6
3,12711,0.5330530220310725,0.6
4,11514,0.5473863233633948,0.6
5,10526,0.5386632262748546,0.6
6,9063,0.5495184869564215,0.6
7,8322,0.548235446360897,0.6
8,7600,0.5400403222508485,0.6
9,6650,0.5454662230000575,0.6
10,5510,0.5552862060303076,0.6
11,4731,0.5484906882497244,0.6
12,4066,0.5462573552588309,0.6
13,3477,0.5633728748482847,0.6
14,2698,0.5415918485599731,0.6
15,1900,0.5274172961541382,0.6
16,1406,0.5365810418441997,0.6
17,1007,0.5268794098982778,0.6
18,779,0.556491860728061,0.6
19,627,0.5456215590186881,0.6
20,475,0.5197661286082339,0.6
21,323,0.48931811222832894,0.45454545454545453
22,228,0.48823690928954083,0.45454545454545453
23,152,0.47690774138142555,0.45454545454545453
24,114,0.4733108996266891,0.45454545454545453
25,76,0.5290040368987737,0.45454545454545453
26,57,0.6118937592621804,0.6
27,38,0.5786348154769207,0.6
28,19,0.45666029876556197,0.45454545454545453
