layer_idx,observations,accepted_observations,unresolved_observations,mean_route_jaccard_accepted,mean_route_jaccard_unresolved,route_stability_acceptance_auc,confidence_acceptance_auc
1,7512,984,6528,0.4849456550676063,0.7940807898528487,0.2443012837757054,0.9740477698320181
2,7512,984,6528,0.41919196431391553,0.7874759805825983,0.17651168699186992,0.9740477698320181
3,7512,984,6528,0.3811746519063592,0.5863207292435234,0.29514651706719275,0.9740477698320181
4,7512,984,6528,0.38699367479855284,0.5710971354353708,0.3015344158496732,0.9740477698320181
5,7512,984,6528,0.40996981789664716,0.4236322126947127,0.49083559999202936,0.9740477698320181
6,7512,984,6528,0.4410562337391606,0.45586826368076366,0.49016984683863385,0.9740477698320181
7,7512,984,6528,0.42555251884520173,0.43976168847492375,0.4871048759315718,0.9740477698320181
8,7512,984,6528,0.4597942482088824,0.43461942809369275,0.5320118837677348,0.9740477698320181
9,7512,984,6528,0.43491898796776846,0.43316153821668524,0.5054744633498724,0.9740477698320181
10,7512,984,6528,0.48398947484313337,0.4472083914179502,0.5382435605720947,0.9740477698320181
11,7512,984,6528,0.49685068770434626,0.46944318277038866,0.5286567307309102,0.9740477698320181
12,7512,984,6528,0.5001640635786977,0.46776373476741123,0.5340464278953452,0.9740477698320181
13,7512,984,6528,0.5100958887544254,0.4944913202266143,0.5153149690389367,0.9740477698320181
14,7512,984,6528,0.5249044541727469,0.5182558930720695,0.503829579024191,0.9740477698320181
15,7512,984,6528,0.521603712457371,0.5328527137350667,0.4830554808305436,0.9740477698320181
16,7512,984,6528,0.5558746808746808,0.5954523927869516,0.4534231216622828,0.9740477698320181
17,7512,984,6528,0.5533545722570113,0.5836315679146562,0.4599399989289415,0.9740477698320181
18,7512,984,6528,0.49880282319306707,0.6311566429213488,0.341836806178264,0.9740477698320181
19,7512,984,6528,0.546578466700418,0.6722763347763347,0.3634691522696477,0.9740477698320181
