mode,batch,group,layer,forwards,mean_query_tokens,mean_active_experts,mean_expert_coverage
delayed,1,0,1,15,20.4,54.666666666666664,0.21354166666666666
delayed,1,0,2,15,20.4,55.2,0.215625
delayed,1,0,3,15,20.4,51.06666666666667,0.19947916666666668
delayed,1,0,4,15,20.4,50.46666666666667,0.19713541666666667
delayed,1,0,5,15,20.4,44.0,0.171875
delayed,1,0,6,15,20.4,42.666666666666664,0.16666666666666666
delayed,1,0,7,15,20.4,56.46666666666667,0.22057291666666667
delayed,1,0,8,15,20.4,48.93333333333333,0.19114583333333332
delayed,1,0,9,15,20.4,56.733333333333334,0.22161458333333334
delayed,1,0,10,15,20.4,47.666666666666664,0.18619791666666666
delayed,1,0,11,15,20.4,42.266666666666666,0.16510416666666666
delayed,1,0,12,15,20.4,51.53333333333333,0.20130208333333333
delayed,1,0,13,15,20.4,46.333333333333336,0.18098958333333334
delayed,1,0,14,15,20.4,54.266666666666666,0.21197916666666666
delayed,1,0,15,15,20.4,56.733333333333334,0.22161458333333334
delayed,1,0,16,15,20.4,50.8,0.1984375
delayed,1,0,17,15,20.4,50.46666666666667,0.19713541666666667
delayed,1,0,18,15,20.4,44.666666666666664,0.17447916666666666
delayed,1,0,19,15,20.4,53.0,0.20703125
delayed,1,1,1,15,19.4,45.733333333333334,0.17864583333333334
delayed,1,1,2,15,19.4,45.06666666666667,0.17604166666666668
delayed,1,1,3,15,19.4,51.733333333333334,0.20208333333333334
delayed,1,1,4,15,19.4,43.733333333333334,0.17083333333333334
delayed,1,1,5,15,19.4,40.06666666666667,0.15651041666666668
delayed,1,1,6,15,19.4,37.2,0.1453125
delayed,1,1,7,15,19.4,46.8,0.1828125
delayed,1,1,8,15,19.4,44.2,0.17265625
delayed,1,1,9,15,19.4,52.6,0.20546875
delayed,1,1,10,15,19.4,42.333333333333336,0.16536458333333334
delayed,1,1,11,15,19.4,43.666666666666664,0.17057291666666666
delayed,1,1,12,15,19.4,46.6,0.18203125
delayed,1,1,13,15,19.4,48.266666666666666,0.18854166666666666
delayed,1,1,14,15,19.4,52.0,0.203125
delayed,1,1,15,15,19.4,53.6,0.209375
delayed,1,1,16,15,19.4,48.266666666666666,0.18854166666666666
delayed,1,1,17,15,19.4,48.333333333333336,0.18880208333333334
delayed,1,1,18,15,19.4,41.2,0.1609375
delayed,1,1,19,15,19.4,52.46666666666667,0.20494791666666667
delayed,1,2,1,10,20.9,50.7,0.198046875
delayed,1,2,2,10,20.9,51.2,0.2
delayed,1,2,3,10,20.9,50.5,0.197265625
